School_ID,Region,School_Type,Student_Count,Teacher_Count,Term_1_Avg,Term_2_Avg,STEM_Subject_Rate,Literacy_Rate,Failure_Risk_Index,Average_Attendance,Library_Usage_Hours,Extracurricular_Participation,LMS_Login_Frequency,Internet_Speed_Mbps,Smart_Classroom_Ratio,Lab_Equipment_Quality_Score,Teacher_Turnover_Rate,Teacher_PhD_Ratio,Professional_Development_Hours_Per_Year,Budget_Per_Student,Budget_Allocation_IT,Budget_Allocation_Scholarships,Regional_Economic_Index,Student_Wellbeing_Score,Teacher_Burnout_Index,Overall_School_Quality_Score,Teacher_to_Student_Ratio,Budget_Efficiency_Score
SCH_0115,الجنوب,حكومية,1423,168,0.0,0.0,0.0,3.98,30.94,90.04,1.12,10.7,0.99,10.0,0.0,4,19.91,0.0,12.59,3061.94,0.09,0.03,0.64,1.0,3.22,19.9,0.12,6.5
SCH_0116,المركز,خاصة,1113,164,80.49,99.06,49.16,94.2,0.0,89.67,4.46,51.53,14.67,93.51,0.78,1,10.46,0.06,55.19,7561.18,0.15,0.06,0.53,9.7,5.09,69.11,0.15,9.14
SCH_0117,الغرب,حكومية,1143,133,59.71,81.33,71.55,83.88,11.42,82.74,2.4,70.51,16.19,125.45,0.49,1,0.0,0.32,38.89,4981.05,0.11,0.04,0.89,4.6,1.0,64.66,0.12,12.98
SCH_0118,الشمال,حكومية,1518,72,74.04,51.24,80.62,59.46,29.06,82.3,1.18,61.28,14.9,94.27,0.36,7,0.0,0.0,25.84,9194.1,0.07,0.05,0.8,5.67,1.29,60.71,0.05,6.6
SCH_0119,المركز,حكومية,1735,77,40.67,89.75,76.26,74.86,12.8,81.2,1.55,72.22,11.91,95.93,0.1,4,11.3,0.0,38.03,6991.22,0.09,0.12,0.91,4.4,3.81,58.16,0.04,8.32
SCH_0120,الشمال,حكومية,888,170,72.64,52.13,75.3,69.84,0.0,93.92,1.57,10.83,18.82,47.45,0.63,1,11.15,0.02,48.01,8135.71,0.17,0.07,0.33,5.15,3.99,57.93,0.19,7.12
SCH_0121,الجنوب,حكومية,1972,186,97.91,100.0,96.74,100.0,0.0,88.6,14.75,70.2,12.35,101.27,0.7,6,7.07,0.2,66.36,12762.83,0.17,0.15,0.8,5.72,1.93,81.19,0.09,6.36
SCH_0122,الغرب,حكومية,1038,114,35.54,48.31,13.85,59.62,31.83,76.49,5.42,22.4,11.99,67.07,0.28,1,17.9,0.0,55.96,5447.44,0.08,0.04,0.68,3.29,2.43,44.85,0.11,8.23
SCH_0123,الشمال,حكومية,1077,185,28.69,28.91,22.08,25.78,56.99,90.28,1.66,8.29,7.95,14.14,0.0,8,22.56,0.0,22.57,500.0,0.08,0.02,0.88,2.65,3.39,30.6,0.17,61.2
SCH_0124,المركز,حكومية,248,179,67.15,79.42,85.28,78.69,13.2,74.21,0.89,63.92,12.11,86.41,0.73,9,10.46,0.03,24.96,8575.37,0.13,0.06,0.66,3.55,7.11,62.11,0.72,7.24
SCH_0125,الجنوب,حكومية,492,80,76.8,67.25,63.43,55.37,38.54,100.0,6.06,14.93,10.59,68.2,0.25,3,11.92,0.26,31.59,7153.1,0.1,0.05,0.68,6.54,2.65,57.32,0.16,8.01
SCH_0126,الجنوب,حكومية,1851,159,1.32,11.67,20.44,26.96,55.76,100.0,0.43,16.1,4.82,37.65,0.0,7,27.45,0.0,7.32,2711.27,0.07,0.01,0.34,3.72,4.67,25.79,0.09,9.51
SCH_0127,المركز,حكومية,735,182,34.46,44.72,43.33,42.6,13.98,78.18,0.73,30.01,1.97,10.0,0.21,5,0.0,0.06,27.76,6366.75,0.08,0.01,0.77,4.15,2.37,41.35,0.25,6.5
SCH_0128,المركز,حكومية,510,180,50.66,67.12,66.52,52.53,38.63,99.45,1.74,27.22,11.04,98.55,0.44,3,25.38,0.47,32.96,8791.03,0.13,0.08,0.49,4.96,2.87,56.17,0.35,6.39
SCH_0129,الشمال,حكومية,736,99,91.1,93.64,51.13,100.0,9.21,96.84,10.01,75.51,17.31,103.95,0.51,5,0.0,0.26,58.04,7437.01,0.14,0.12,0.31,1.25,1.0,76.52,0.13,10.29
SCH_0130,الشرق,مجتمعية,2126,151,49.55,38.5,64.65,44.42,11.12,85.15,0.46,18.01,7.84,38.01,0.0,10,3.82,0.18,0.0,5306.04,0.05,0.11,0.35,4.17,3.47,44.31,0.07,8.35
SCH_0131,الجنوب,خاصة,433,158,21.55,34.5,29.11,31.78,60.75,84.51,0.38,69.01,0.0,28.51,0.24,7,14.9,0.0,18.39,8146.29,0.02,0.02,0.97,1.72,4.88,35.33,0.36,4.34
SCH_0132,الشمال,خاصة,1432,137,69.62,100.0,89.23,78.16,10.58,97.74,2.9,84.11,3.33,73.92,0.64,7,12.96,0.55,31.64,6812.53,0.08,0.06,0.54,5.51,5.02,67.7,0.1,9.94
SCH_0133,المركز,حكومية,2341,16,49.85,30.94,0.0,35.21,3.17,88.22,0.99,29.64,1.21,10.5,0.03,9,0.0,0.02,48.42,5608.77,0.01,0.01,0.91,1.0,2.69,41.1,0.01,7.33
SCH_0134,الشمال,خاصة,2472,120,30.66,28.4,43.52,13.63,34.25,65.28,1.94,0.0,0.99,45.98,0.37,8,22.14,0.0,6.38,500.0,0.01,0.04,0.97,1.81,5.47,29.15,0.05,58.3
SCH_0135,المركز,خاصة,1166,122,72.54,55.84,42.01,61.77,3.15,100.0,2.38,62.19,5.95,94.03,0.57,4,16.64,0.39,42.94,4595.78,0.05,0.09,0.96,2.31,1.0,58.32,0.1,12.69
SCH_0136,الغرب,خاصة,1089,86,54.14,42.99,100.0,46.14,11.67,94.09,2.1,60.32,11.66,87.12,0.43,5,20.89,0.14,34.94,7249.63,0.06,0.03,0.92,4.73,3.22,55.6,0.08,7.67
SCH_0137,المركز,حكومية,2258,185,53.11,100.0,98.99,51.62,15.02,90.24,0.44,50.37,14.45,102.0,0.14,5,3.88,0.18,52.63,9418.23,0.16,0.03,0.93,6.34,1.47,66.5,0.08,7.06
SCH_0138,المركز,حكومية,234,140,81.45,81.32,46.73,84.36,9.53,86.58,0.64,38.28,17.65,78.92,0.5,10,3.69,0.18,50.9,5401.61,0.1,0.1,0.5,4.92,1.0,67.07,0.6,12.42
SCH_0139,المركز,خاصة,646,184,65.44,70.53,78.36,66.6,14.56,89.69,6.64,45.43,10.99,12.35,0.44,2,3.33,0.14,40.43,7490.67,0.11,0.07,0.41,7.39,1.0,59.25,0.28,7.91
SCH_0140,الشرق,حكومية,1963,71,33.51,67.17,37.9,75.2,19.42,100.0,8.13,48.15,14.16,77.11,0.33,7,6.51,0.23,29.15,6325.4,0.1,0.08,0.75,3.17,2.7,58.42,0.04,9.24
SCH_0141,المركز,حكومية,1758,95,53.65,66.17,32.27,48.92,36.28,91.6,0.9,41.86,3.95,62.81,0.45,7,3.42,0.22,5.73,8060.57,0.15,0.02,0.64,4.81,4.16,49.93,0.05,6.19
SCH_0142,الجنوب,حكومية,794,172,17.56,36.59,18.13,41.94,23.57,91.05,0.35,30.64,3.81,77.09,0.11,9,8.49,0.0,32.85,2697.39,0.02,0.01,0.37,1.0,7.89,38.9,0.22,14.42
SCH_0143,الجنوب,حكومية,2225,155,0.0,23.48,20.19,5.43,62.1,76.13,0.13,23.6,0.0,43.7,0.01,9,26.54,0.0,31.33,4646.44,0.01,0.01,0.77,2.96,6.27,26.73,0.07,5.75
SCH_0144,الشمال,حكومية,2476,33,38.53,47.67,70.04,65.55,0.0,88.56,3.66,77.68,15.57,67.57,0.25,4,10.43,0.1,15.44,6141.2,0.09,0.08,0.69,6.84,1.29,53.71,0.01,8.75
SCH_0145,الشرق,حكومية,543,21,51.26,69.26,30.47,60.05,31.98,90.86,4.57,63.85,18.01,50.17,0.24,5,16.29,0.0,17.85,7261.28,0.14,0.12,0.9,5.3,1.0,52.26,0.04,7.2
SCH_0146,الشمال,حكومية,1303,151,15.87,27.57,39.92,32.76,59.09,93.68,1.37,36.7,2.93,61.23,0.16,7,19.36,0.0,33.12,5316.39,0.11,0.02,0.73,1.7,1.69,38.09,0.12,7.17
SCH_0147,الجنوب,حكومية,1619,68,0.0,24.87,10.71,13.86,39.94,83.15,2.78,0.0,0.0,10.0,0.05,10,28.35,0.09,29.52,3531.7,0.05,0.08,0.7,1.0,2.52,27.13,0.04,7.68
SCH_0148,الجنوب,حكومية,1513,118,40.92,20.57,9.88,42.2,29.75,97.05,4.23,60.76,2.17,53.54,0.23,7,22.21,0.28,19.03,7196.23,0.13,0.07,0.61,2.92,6.98,41.47,0.08,5.76
SCH_0149,الغرب,حكومية,1678,100,60.82,77.63,59.49,59.14,1.39,82.66,11.08,70.92,6.98,96.55,0.59,10,0.0,0.34,31.84,7859.59,0.11,0.03,0.62,7.67,2.49,68.95,0.06,8.77
SCH_0150,المركز,حكومية,1351,96,62.55,31.17,98.0,77.58,9.93,92.04,0.26,46.72,3.09,61.16,0.69,8,0.26,0.0,11.89,7269.93,0.09,0.07,0.97,5.44,1.0,55.68,0.07,7.66
SCH_0151,الجنوب,حكومية,2121,75,17.1,22.4,18.53,34.38,60.25,86.87,0.6,21.82,0.0,15.07,0.0,8,16.05,0.04,48.62,4144.68,0.1,0.05,0.4,1.0,2.49,33.38,0.04,8.05
SCH_0152,الشمال,خاصة,1582,101,66.23,13.21,2.08,36.53,41.83,76.76,0.22,32.35,6.84,47.64,0.53,2,15.07,0.0,12.14,5870.79,0.08,0.01,0.61,1.0,1.96,35.1,0.06,5.98
SCH_0153,الشمال,حكومية,2322,16,35.14,36.88,43.67,33.91,42.59,87.36,5.71,13.15,7.41,67.87,0.3,9,11.45,0.1,36.35,5360.96,0.01,0.05,0.76,4.7,3.14,47.03,0.01,8.77
SCH_0154,المركز,حكومية,1769,192,8.32,16.85,0.0,15.73,13.03,81.92,3.89,0.0,0.0,29.34,0.0,4,30.17,0.0,24.22,2128.46,0.07,0.05,0.6,2.24,7.68,23.3,0.11,10.95
SCH_0155,المركز,حكومية,2094,45,88.51,77.9,93.75,100.0,0.0,100.0,4.0,49.24,10.76,69.15,0.47,1,22.43,0.36,66.18,8563.5,0.12,0.1,0.5,4.69,1.0,67.58,0.02,7.89
SCH_0156,الغرب,خاصة,2443,47,56.9,57.19,32.24,26.12,58.25,85.29,0.27,10.41,5.54,72.19,0.27,1,17.94,0.1,18.82,3387.11,0.04,0.03,0.5,1.0,1.0,38.37,0.02,11.33
SCH_0157,الشرق,حكومية,2066,94,90.79,62.99,100.0,82.81,17.94,95.45,1.37,21.79,6.13,118.79,0.13,5,6.73,0.0,43.85,8270.89,0.16,0.07,0.46,4.86,6.03,62.51,0.05,7.56
SCH_0158,الشمال,حكومية,228,25,15.3,0.0,32.82,37.81,39.91,78.78,1.09,6.73,6.62,12.03,0.2,7,24.43,0.0,5.4,4352.67,0.05,0.03,0.54,1.0,1.54,26.47,0.11,6.08
SCH_0159,المركز,حكومية,905,175,49.45,71.77,41.17,72.08,20.53,93.3,3.23,74.08,9.02,148.02,0.49,5,0.0,0.19,10.14,9026.18,0.12,0.03,0.91,4.81,1.0,59.16,0.19,6.55
SCH_0160,الشمال,حكومية,1220,142,56.91,42.14,59.26,90.87,6.49,88.54,1.21,64.63,8.05,68.62,0.26,3,8.13,0.22,49.54,9149.98,0.14,0.05,0.65,10.0,4.5,58.97,0.12,6.44
SCH_0161,المركز,خاصة,2263,149,48.13,41.75,30.15,58.96,27.63,84.26,0.28,24.36,3.89,83.17,0.03,7,21.11,0.0,9.64,4984.98,0.04,0.04,0.47,1.18,3.55,39.42,0.07,7.91
SCH_0162,الجنوب,خاصة,1646,142,55.36,56.53,60.11,78.15,0.0,100.0,5.16,37.67,11.01,86.12,0.43,1,2.5,0.0,35.86,7495.79,0.12,0.07,0.57,4.77,1.2,58.86,0.09,7.85
SCH_0163,الشمال,حكومية,1859,45,65.9,44.03,100.0,70.45,0.0,88.71,1.41,76.89,5.99,44.45,0.83,1,0.0,0.2,54.79,8854.26,0.17,0.05,0.37,7.85,1.0,63.14,0.02,7.13
SCH_0164,الجنوب,حكومية,1166,190,81.56,63.12,95.49,88.29,3.71,90.36,2.48,80.51,1.91,56.98,0.28,2,5.51,0.0,52.36,7586.15,0.06,0.04,0.93,7.14,1.0,62.06,0.16,8.18
SCH_0165,الشمال,حكومية,2476,140,34.35,0.0,61.63,30.41,42.48,94.3,0.36,18.04,3.23,22.84,0.0,1,19.19,0.0,16.27,2999.94,0.05,0.04,0.59,1.37,2.94,28.7,0.06,9.57
SCH_0166,الشرق,حكومية,772,61,20.74,28.08,35.22,24.87,13.63,81.42,4.49,44.01,0.0,10.0,0.11,9,9.5,0.01,3.86,2609.98,0.01,0.04,0.99,1.76,4.48,32.78,0.08,12.56
SCH_0167,الغرب,حكومية,1806,195,71.25,77.34,98.63,100.0,4.02,97.8,4.06,61.3,6.13,120.4,0.89,4,22.02,0.21,56.37,11412.63,0.19,0.08,0.54,5.35,1.0,70.91,0.11,6.21
SCH_0168,الجنوب,حكومية,814,121,0.0,10.26,0.0,15.66,30.18,90.06,5.32,12.39,2.12,10.0,0.0,7,17.76,0.0,43.08,5491.86,0.07,0.02,0.89,1.0,5.11,29.3,0.15,5.34
SCH_0169,المركز,حكومية,525,33,20.49,45.72,33.68,24.56,22.96,89.79,1.95,0.0,3.43,28.73,0.32,5,6.39,0.0,18.55,4564.3,0.02,0.01,0.48,2.75,4.22,36.09,0.06,7.91
SCH_0170,الشرق,حكومية,558,95,40.34,70.75,56.4,66.82,39.99,100.0,10.7,39.92,4.52,38.86,0.26,7,9.31,0.18,25.65,8663.07,0.2,0.06,0.35,6.93,1.0,56.91,0.17,6.57
SCH_0171,الشمال,مجتمعية,2010,137,78.17,59.83,76.63,63.61,20.03,84.67,8.52,49.41,10.3,78.42,0.29,7,18.81,0.08,30.44,1343.73,0.15,0.09,0.32,3.64,2.92,57.18,0.07,42.55
SCH_0172,الجنوب,حكومية,1921,148,58.0,60.86,53.24,86.94,0.0,100.0,3.67,26.85,13.47,10.0,0.25,1,6.25,0.24,51.28,10953.3,0.15,0.06,0.72,5.68,4.02,57.09,0.08,5.21
SCH_0173,الشمال,خاصة,1549,121,75.12,68.25,66.92,70.84,19.87,95.36,10.8,64.55,11.08,16.0,0.35,1,13.39,0.14,58.19,7296.6,0.13,0.03,0.52,3.37,1.72,59.22,0.08,8.12
SCH_0174,الشمال,خاصة,364,63,54.21,69.0,47.97,80.45,0.0,100.0,1.71,78.75,12.93,61.53,0.28,3,0.0,0.26,25.24,8844.07,0.17,0.08,0.61,6.81,1.0,60.97,0.17,6.89
SCH_0175,الشمال,حكومية,1796,87,39.15,32.31,36.05,43.28,41.09,90.66,1.31,43.66,0.0,44.86,0.07,10,32.55,0.22,6.31,4409.57,0.01,0.01,0.87,3.91,4.41,36.02,0.05,8.17
SCH_0176,الغرب,خاصة,1827,64,3.51,0.0,19.12,8.56,63.81,100.0,0.1,51.17,7.31,12.25,0.0,2,29.22,0.14,56.78,6183.58,0.02,0.01,0.47,1.71,7.9,27.0,0.04,4.37
SCH_0177,الغرب,حكومية,1376,95,100.0,89.65,45.12,84.76,21.15,90.19,3.85,70.37,14.42,109.05,0.12,7,16.09,0.43,40.6,6306.74,0.14,0.07,0.52,3.86,1.0,67.93,0.07,10.77
SCH_0178,المركز,حكومية,1350,109,22.4,39.87,12.58,47.51,62.68,92.91,4.07,30.22,1.15,42.61,0.3,3,18.81,0.24,35.6,8704.94,0.04,0.01,0.89,3.44,6.54,39.33,0.08,4.52
SCH_0179,الجنوب,حكومية,392,26,17.86,59.45,0.4,12.24,7.76,98.08,4.14,0.0,3.89,25.79,0.41,7,26.67,0.11,17.52,5634.85,0.06,0.04,0.64,1.0,5.26,34.96,0.07,6.2
SCH_0180,الشرق,مجتمعية,291,37,75.57,100.0,77.58,100.0,11.34,88.64,0.72,72.74,13.06,48.98,1.0,9,0.0,0.18,51.69,9924.27,0.18,0.08,0.88,8.51,1.19,75.41,0.13,7.6
SCH_0181,الشرق,حكومية,338,68,29.01,39.79,3.35,34.68,14.2,96.13,1.73,36.23,4.5,24.6,0.37,1,12.26,0.04,43.79,4532.58,0.03,0.07,0.56,2.18,6.55,37.6,0.2,8.3
SCH_0182,الشرق,حكومية,680,132,27.91,31.24,60.67,16.78,30.85,88.16,0.58,0.0,13.93,32.52,0.1,3,30.19,0.0,34.43,2700.63,0.05,0.04,0.58,1.0,1.65,33.72,0.19,12.49
SCH_0183,الشمال,مجتمعية,1556,73,50.71,44.67,64.33,73.14,22.22,80.68,3.98,39.69,0.0,10.0,0.0,6,26.69,0.17,62.8,8753.78,0.04,0.08,0.42,4.01,3.71,46.52,0.05,5.31
SCH_0184,الغرب,حكومية,539,178,63.06,82.35,80.19,67.52,50.09,80.21,0.7,54.79,2.85,41.5,0.52,9,0.0,0.31,35.56,8397.45,0.01,0.1,0.94,6.37,2.77,60.31,0.33,7.18
SCH_0185,الجنوب,حكومية,1275,17,19.08,46.71,18.37,65.6,24.03,89.29,8.22,50.71,0.0,64.05,0.01,5,14.96,0.04,31.1,9233.66,0.11,0.05,0.93,4.5,1.12,46.21,0.01,5.0
SCH_0186,الشمال,خاصة,998,72,92.9,95.52,100.0,87.01,9.83,100.0,1.14,79.52,12.1,83.38,0.31,3,1.19,0.23,46.87,8072.22,0.12,0.08,0.99,5.22,2.24,71.98,0.07,8.92
SCH_0187,الغرب,خاصة,674,197,65.83,28.93,35.91,9.5,53.62,70.66,0.93,7.6,6.16,15.32,0.31,8,12.3,0.0,33.85,3765.48,0.04,0.01,0.58,1.0,5.19,36.28,0.29,9.63
SCH_0188,الغرب,مجتمعية,1662,71,77.22,78.87,59.1,82.63,12.83,93.88,7.96,62.22,12.72,54.52,0.5,5,9.66,0.25,45.24,10868.48,0.06,0.11,0.87,3.84,1.28,66.94,0.04,6.16
SCH_0189,الجنوب,مجتمعية,804,159,64.47,90.42,50.67,91.53,36.72,100.0,2.73,76.68,10.78,29.21,0.3,6,16.03,0.16,25.18,12528.9,0.11,0.08,0.59,5.73,2.84,59.22,0.2,4.73
SCH_0190,الجنوب,حكومية,1020,181,41.03,42.76,55.03,73.73,31.77,80.43,0.09,41.61,10.52,10.0,0.0,2,15.38,0.06,41.65,6977.34,0.14,0.03,0.62,2.81,1.46,43.28,0.18,6.2
SCH_0191,الجنوب,خاصة,797,104,69.74,45.21,51.21,71.82,32.16,85.98,2.6,40.0,7.6,51.34,0.41,4,6.67,0.08,32.55,5732.39,0.09,0.08,0.88,6.78,2.91,52.61,0.13,9.18
SCH_0192,الشمال,حكومية,1732,69,29.13,7.5,14.85,13.29,10.31,91.91,0.24,32.93,7.21,68.02,0.21,1,24.31,0.15,18.29,6255.62,0.04,0.01,0.42,1.0,4.34,31.74,0.04,5.07
SCH_0193,المركز,حكومية,713,59,91.57,100.0,81.73,100.0,31.86,100.0,20.59,73.11,19.91,96.94,0.88,4,0.0,0.27,49.24,9200.5,0.15,0.08,0.45,7.91,1.0,82.48,0.08,8.96
SCH_0194,الجنوب,حكومية,1726,15,44.87,19.39,48.0,32.79,23.37,100.0,2.67,2.92,0.38,64.22,0.0,1,20.73,0.04,15.65,6548.64,0.01,0.06,0.52,2.79,4.99,35.16,0.01,5.37
SCH_0195,المركز,حكومية,2077,35,14.0,32.64,0.0,66.65,27.38,84.8,0.99,63.42,5.3,10.0,0.29,4,27.73,0.17,16.46,5628.19,0.1,0.03,0.85,5.49,2.89,34.56,0.02,6.14
SCH_0196,الشمال,مجتمعية,1899,35,93.75,90.5,100.0,87.14,0.0,86.72,3.71,44.23,11.74,90.94,0.68,2,0.0,0.19,5.5,11898.89,0.06,0.06,0.56,8.77,1.0,68.69,0.02,5.77
SCH_0197,المركز,مجتمعية,1229,66,34.71,27.36,51.1,32.14,19.07,100.0,0.23,23.02,11.8,10.03,0.1,6,25.19,0.26,55.55,3780.89,0.01,0.02,0.55,3.88,1.0,41.34,0.05,10.93
SCH_0198,الشرق,حكومية,699,96,37.89,47.13,57.04,49.89,5.55,84.24,5.77,48.7,3.86,30.56,0.0,6,0.0,0.01,44.18,7658.91,0.03,0.01,1.0,4.93,4.41,49.46,0.14,6.46
SCH_0199,المركز,حكومية,1884,185,3.87,18.37,22.49,22.92,38.86,91.6,7.16,29.4,9.29,47.71,0.0,8,30.94,0.05,25.86,3798.37,0.03,0.05,0.57,1.0,2.04,33.56,0.1,8.84
SCH_0200,الجنوب,حكومية,916,194,68.13,31.43,87.98,65.32,0.0,100.0,8.28,56.44,2.62,62.7,0.41,9,2.05,0.0,29.89,7079.03,0.08,0.06,0.47,3.17,2.58,59.28,0.21,8.37
SCH_0201,الشمال,خاصة,1341,81,100.0,65.92,79.58,100.0,6.15,99.06,1.85,5.5,18.28,38.86,0.39,8,0.0,0.19,0.99,7805.51,0.12,0.07,0.74,4.74,1.28,62.43,0.06,8.0
SCH_0202,الجنوب,خاصة,1708,127,20.55,41.7,18.41,13.06,53.88,93.66,1.07,5.13,7.86,26.92,0.2,1,25.96,0.0,16.26,6155.5,0.01,0.02,0.86,3.42,3.82,29.24,0.07,4.75
SCH_0203,الشرق,حكومية,865,58,0.0,4.06,34.93,21.41,53.4,96.44,0.08,15.65,1.04,10.0,0.33,3,25.6,0.15,34.38,5687.29,0.07,0.01,0.35,1.12,9.18,26.34,0.07,4.63
SCH_0204,الجنوب,حكومية,2408,174,6.09,0.0,45.09,11.83,54.88,89.52,2.21,0.39,5.07,10.0,0.0,6,14.2,0.12,35.1,4340.79,0.05,0.02,0.73,1.99,6.17,28.9,0.07,6.66
SCH_0205,الجنوب,حكومية,1279,24,59.41,16.98,12.68,49.09,20.52,94.51,2.27,35.91,2.31,10.0,0.44,1,4.44,0.21,39.26,5031.07,0.04,0.03,0.33,4.57,5.59,41.32,0.02,8.21
SCH_0206,الجنوب,حكومية,427,78,55.79,54.72,57.82,54.69,1.55,87.19,2.14,59.89,2.78,110.7,0.27,8,10.79,0.15,37.17,6733.08,0.05,0.01,0.67,2.49,3.61,54.99,0.18,8.17
SCH_0207,الغرب,مجتمعية,348,83,95.93,92.94,66.11,86.36,21.71,100.0,11.04,80.4,21.71,124.21,0.59,6,0.0,0.13,65.91,10944.17,0.1,0.11,0.48,7.09,1.0,80.05,0.24,7.31
SCH_0208,الشرق,حكومية,1269,82,75.19,52.43,66.88,60.81,14.84,93.99,0.68,30.9,5.82,10.0,0.32,1,0.17,0.05,32.13,8837.76,0.07,0.07,0.51,4.52,2.55,50.73,0.06,5.74
SCH_0209,الجنوب,حكومية,1367,42,62.63,45.21,39.98,67.05,20.98,78.73,0.04,33.67,11.72,49.9,0.41,10,12.27,0.4,52.94,1507.69,0.01,0.06,0.63,3.79,5.58,52.31,0.03,34.7
SCH_0210,الجنوب,حكومية,831,195,61.81,52.49,97.76,81.73,10.27,94.3,0.32,91.45,16.57,70.06,0.55,2,0.0,0.44,36.29,7602.43,0.06,0.11,0.95,4.81,3.76,64.68,0.23,8.51
SCH_0211,الجنوب,حكومية,1563,130,32.77,64.46,56.94,68.5,30.62,73.54,0.95,43.57,12.87,50.96,0.48,6,14.53,0.2,24.47,6677.37,0.13,0.06,0.8,7.08,6.37,50.32,0.08,7.54
SCH_0212,الشمال,مجتمعية,612,65,24.25,50.64,39.01,55.54,58.61,94.52,0.11,28.55,8.71,18.16,0.23,10,30.38,0.04,16.34,7003.82,0.07,0.07,0.96,3.15,4.16,38.86,0.11,5.55
SCH_0213,الغرب,حكومية,1955,195,15.91,51.82,65.1,41.55,55.69,86.38,2.08,36.18,8.27,54.89,0.0,8,15.39,0.3,13.78,5140.22,0.13,0.07,0.76,2.62,2.3,43.18,0.1,8.4
SCH_0214,الشمال,حكومية,719,18,82.97,56.42,58.42,82.38,0.0,100.0,1.58,83.21,16.25,101.36,0.56,5,8.03,0.12,51.81,9554.19,0.09,0.09,0.3,4.24,1.0,68.37,0.03,7.16
SCH_0215,الغرب,حكومية,1567,93,81.79,90.29,83.51,58.35,10.47,95.9,0.81,37.82,12.06,101.28,0.02,1,27.73,0.24,29.8,5729.5,0.09,0.05,0.49,6.94,1.0,57.75,0.06,10.08
SCH_0216,الجنوب,حكومية,1302,31,19.53,16.05,4.23,10.75,21.35,94.08,3.48,3.6,2.34,26.8,0.0,10,8.9,0.25,9.57,4703.02,0.01,0.01,0.93,1.0,6.52,31.36,0.02,6.67
SCH_0217,الشرق,حكومية,797,122,36.44,55.87,79.4,56.97,36.34,82.15,0.84,12.3,1.48,73.73,0.0,2,23.04,0.04,47.35,8683.54,0.07,0.09,0.75,5.35,1.5,46.4,0.15,5.34
SCH_0218,المركز,خاصة,1859,88,62.79,49.39,71.73,19.82,32.06,94.08,3.58,22.87,6.99,25.66,0.56,4,26.71,0.23,35.72,2570.58,0.02,0.01,0.99,3.84,1.0,45.31,0.05,17.63
SCH_0219,المركز,حكومية,1885,189,73.67,71.79,74.65,76.81,19.14,87.87,1.89,75.28,17.13,32.62,0.56,4,13.57,0.32,58.41,13620.93,0.13,0.07,0.41,5.57,6.13,63.51,0.1,4.66
SCH_0220,الجنوب,حكومية,2360,198,32.98,0.0,0.0,23.63,32.13,96.12,1.95,11.85,0.0,10.0,0.08,7,31.94,0.07,34.87,7056.5,0.04,0.01,0.51,2.55,3.42,29.15,0.08,4.13
SCH_0221,الشمال,حكومية,2388,37,73.34,83.17,58.83,78.8,0.0,83.31,11.35,93.27,9.74,47.05,0.72,2,9.66,0.07,30.48,8084.49,0.08,0.05,0.55,6.18,1.0,63.84,0.02,7.9
SCH_0222,الشرق,حكومية,2124,32,91.28,93.38,100.0,100.0,0.0,94.69,0.18,72.84,15.35,82.13,0.64,7,0.0,0.16,47.59,7513.48,0.19,0.11,0.53,6.97,4.05,75.97,0.02,10.11
SCH_0223,الغرب,حكومية,929,143,46.18,32.25,25.81,39.37,8.18,79.5,2.17,28.08,13.21,10.0,0.25,7,26.53,0.16,33.17,5285.81,0.15,0.05,0.48,3.04,1.32,41.23,0.15,7.8
SCH_0224,الجنوب,حكومية,788,49,35.61,55.39,81.47,53.14,8.02,90.61,6.52,29.8,1.11,12.16,0.36,7,24.82,0.0,20.03,6391.23,0.13,0.02,0.61,3.81,5.51,44.72,0.06,7.0
SCH_0225,الشرق,خاصة,576,78,75.77,68.59,44.06,57.63,0.0,100.0,3.27,17.76,12.4,44.84,0.26,3,22.01,0.19,20.29,7814.65,0.11,0.07,0.75,4.76,1.45,52.23,0.14,6.68
SCH_0226,الشرق,خاصة,1607,73,30.27,31.28,41.34,59.78,7.48,96.17,1.17,41.36,6.31,79.89,0.08,6,11.95,0.24,25.98,9778.77,0.12,0.05,0.52,4.44,1.0,49.01,0.05,5.01
SCH_0227,الغرب,حكومية,2069,15,0.0,15.74,30.99,21.45,25.92,86.28,1.25,19.49,0.0,25.43,0.28,6,13.99,0.19,55.17,3125.89,0.12,0.01,0.36,1.0,8.49,33.01,0.01,10.56
SCH_0228,الشرق,حكومية,950,145,56.74,3.19,50.54,55.82,37.23,69.04,3.56,27.52,1.01,11.45,0.21,4,17.58,0.0,25.02,6740.2,0.09,0.02,0.8,2.68,5.6,35.57,0.15,5.28
SCH_0229,الشمال,حكومية,826,81,83.5,72.79,91.69,76.96,18.0,88.18,9.39,64.34,7.92,76.04,0.1,1,15.76,0.42,60.89,5640.33,0.08,0.09,0.62,6.5,3.36,64.62,0.1,11.46
SCH_0230,الشمال,حكومية,1829,51,85.42,41.73,47.42,53.49,32.24,93.53,0.14,24.44,9.59,10.0,0.39,9,23.41,0.4,27.17,5485.03,0.09,0.08,0.69,3.98,3.9,48.85,0.03,8.91
SCH_0231,الشمال,خاصة,1194,43,84.65,91.0,100.0,100.0,25.81,89.28,0.33,42.0,11.4,57.72,0.51,2,0.0,0.31,58.42,9607.05,0.16,0.07,0.62,8.6,2.18,70.14,0.04,7.3
